base_size,layer_index,petal_index,opening_degree,base_width,length,curvature,twist_angle,thickness
2.7655,3,1,0.8209,0.799501,2.898782,0.223675,31.7794,0.057802
2.7655,3,2,0.8209,0.839671,2.853168,0.204779,61.4444,0.060073
2.7655,3,3,0.8209,0.849332,2.85705,0.210784,95.8861,0.061292
2.7655,3,4,0.8209,0.784956,2.673631,0.214452,129.6678,0.06254
2.7655,3,5,0.8209,0.903358,2.787117,0.246499,162.445,0.059387
2.7655,3,6,0.8209,0.872502,2.773246,0.224911,185.7609,0.061781
2.7655,3,7,0.8209,0.838625,2.644815,0.222013,227.5962,0.059522
2.7655,3,8,0.8209,0.813603,2.753907,0.214207,259.3234,0.063692
2.7655,3,9,0.8209,0.886877,2.880639,0.221901,279.2396,0.061617
2.7655,3,10,0.8209,0.941331,2.839557,0.225614,302.1589,0.064372
2.7655,3,11,0.8209,0.765562,2.558596,0.236736,345.9522,0.062875
2.7655,3,12,0.8209,0.818413,2.579155,0.213243,389.5221,0.060968
1.1363,1,0,0.1137,0.285478,0.429496,0.810781,0.0,0.033424
1.1363,1,1,0.1137,0.27141,0.466644,0.874473,27.5573,0.030654
1.1363,1,2,0.1137,0.272028,0.504547,0.894683,52.7217,0.032807
1.1363,1,3,0.1137,0.257626,0.463876,0.963787,81.1936,0.030162
1.1363,1,4,0.1137,0.275467,0.455585,0.806544,111.0536,0.033772
1.1363,2,0,0.1137,0.321928,0.680246,0.584191,0.0,0.030237
1.1363,2,1,0.1137,0.312614,0.631872,0.615923,35.0636,0.026831
1.1363,2,2,0.1137,0.328617,0.658687,0.556073,69.7327,0.03105
1.1363,2,3,0.1137,0.286525,0.620695,0.58293,108.6171,0.030434
1.1363,2,4,0.1137,0.319484,0.690895,0.570455,137.1927,0.031047
1.1363,2,5,0.1137,0.317845,0.639811,0.608112,167.3375,0.026186
1.1363,2,6,0.1137,0.325476,0.671404,0.566385,202.0374,0.030184
1.1363,2,7,0.1137,0.327198,0.61873,0.609501,247.7723,0.027649
1.1363,3,0,0.1137,0.325065,0.883699,0.270125,0.0,0.025199
1.1363,3,1,0.1137,0.340435,0.888802,0.298023,31.6854,0.026178
1.1363,3,2,0.1137,0.328403,0.923234,0.298033,65.8467,0.022989
1.1363,3,3,0.1137,0.320341,0.818457,0.284433,92.4208,0.026587
1.1363,3,4,0.1137,0.332663,0.869912,0.313028,131.0671,0.025847
1.1363,3,5,0.1137,0.334222,0.935072,0.289937,165.7592,0.02634
1.1363,3,6,0.1137,0.347339,0.932808,0.269565,187.9642,0.024419
1.1363,3,7,0.1137,0.360769,0.914837,0.281723,226.3179,0.024749
1.1363,3,8,0.1137,0.348343,0.895693,0.262222,252.7545,0.025297
1.1363,3,9,0.1137,0.320976,0.904566,0.282931,288.9917,0.024888
1.1363,3,10,0.1137,0.344857,0.919181,0.301715,308.1883,0.027855
1.1363,3,11,0.1137,0.335933,0.92177,0.285903,346.9045,0.024923
1.1363,3,12,0.1137,0.360168,0.931928,0.283347,389.4884,0.028531
3.8827,1,0,0.4122,0.908584,1.732603,0.770567,0.0,0.110453
3.8827,1,1,0.4122,0.939858,1.700367,0.835216,27.8805,0.099969
3.8827,1,2,0.4122,0.871263,1.816961,0.767263,56.3525,0.10859
3.8827,1,3,0.4122,0.983044,1.741876,0.742772,86.5189,0.119518
3.8827,1,4,0.4122,0.975555,1.590015,0.821748,115.6532,0.107533
3.8827,2,0,0.4122,1.097144,2.586035,0.527409,0.0,0.096392
3.8827,2,1,0.4122,1.122644,2.497884,0.539634,32.4944,0.101725
3.8827,2,2,0.4122,1.089688,2.244656,0.486989,70.7887,0.099381
3.8827,2,3,0.4122,1.071586,2.572675,0.494821,106.8843,0.106247
3.8827,2,4,0.4122,1.099833,2.354325,0.531523,134.2297,0.104081
3.8827,2,5,0.4122,1.099063,2.582382,0.541022,176.8186,0.09781
3.8827,2,6,0.4122,1.076639,2.337644,0.515299,204.7764,0.091722
3.8827,2,7,0.4122,1.070461,2.421838,0.564503,248.9893,0.093104
3.8827,3,0,0.4122,1.086586,3.242424,0.273386,0.0,0.082819
3.8827,3,1,0.4122,1.148957,3.741991,0.259784,32.1911,0.088498
3.8827,3,2,0.4122,1.147795,3.199863,0.303713,64.6179,0.082979
3.8827,3,3,0.4122,1.154423,3.529089,0.259235,98.4119,0.084396
3.8827,3,4,0.4122,1.163261,3.40704,0.261942,125.2752,0.080321
3.8827,3,5,0.4122,1.197676,3.757608,0.289546,164.8371,0.083364
3.8827,3,6,0.4122,1.242027,3.402301,0.283477,183.4308,0.088615
3.8827,3,7,0.4122,1.213096,3.531304,0.235021,227.4923,0.086441
3.8827,3,8,0.4122,1.238378,3.384044,0.277578,256.1348,0.092756
3.8827,3,9,0.4122,1.176991,3.438127,0.271817,281.3216,0.089315
3.8827,3,10,0.4122,1.166306,3.215375,0.26706,311.0898,0.084956
3.8827,3,11,0.4122,1.107454,3.455436,0.248346,350.0633,0.085079
3.8827,3,12,0.4122,1.070352,3.393443,0.272439,408.5484,0.093727
1.4668,1,0,0.6631,0.370004,0.730524,0.742129,0.0,0.040839
1.4668,1,1,0.6631,0.371761,0.709507,0.71599,27.3968,0.041022
1.4668,1,2,0.6631,0.36157,0.748244,0.754856,55.248,0.042808
1.4668,1,3,0.6631,0.406013,0.709422,0.754083,84.2068,0.042527
1.4668,1,4,0.6631,0.359722,0.739409,0.716134,105.9228,0.039842
1.4668,2,0,0.6631,0.41287,0.970383,0.481686,0.0,0.034582
1.4668,2,1,0.6631,0.425735,0.964289,0.511004,33.9012,0.039746
1.4668,2,2,0.6631,0.417723,1.00303,0.4608,68.1094,0.038936
1.4668,2,3,0.6631,0.42722,0.976536,0.503385,102.9288,0.036773
1.4668,2,4,0.6631,0.377763,1.006638,0.427362,139.8234,0.038217
1.4668,2,5,0.6631,0.393605,0.968346,0.47964,176.8342,0.034697
1.4668,2,6,0.6631,0.399543,0.942037,0.451857,208.6061,0.033657
1.4668,2,7,0.6631,0.416347,1.030541,0.478063,247.9804,0.036462
1.4668,3,0,0.6631,0.43951,1.454996,0.244891,0.0,0.033066
1.4668,3,1,0.6631,0.46213,1.350303,0.237386,31.3176,0.030413
1.4668,3,2,0.6631,0.434263,1.288452,0.224045,63.9572,0.03124
1.4668,3,3,0.6631,0.40537,1.381048,0.249599,98.9413,0.031466
1.4668,3,4,0.6631,0.434989,1.381455,0.237772,126.3818,0.030541
1.4668,3,5,0.6631,0.476236,1.42282,0.226647,151.4894,0.034412
1.4668,3,6,0.6631,0.42021,1.519995,0.232336,189.254,0.030136
1.4668,3,7,0.6631,0.42941,1.37829,0.22288,220.5564,0.03279
1.4668,3,8,0.6631,0.445424,1.379921,0.229729,248.8264,0.034014
1.4668,3,9,0.6631,0.461721,1.464681,0.248613,284.3853,0.030916
1.4668,3,10,0.6631,0.403895,1.415708,0.242312,329.0355,0.031474
1.4668,3,11,0.6631,0.461046,1.279656,0.242375,344.5399,0.030749
1.4668,3,12,0.6631,0.466839,1.489245,0.24278,376.5665,0.033983
4.8998,1,0,0.3151,1.284107,2.082096,0.856631,0.0,0.142103
4.8998,1,1,0.3151,1.270127,2.308579,0.799754,27.1306,0.138118
4.8998,1,2,0.3151,1.166979,2.153432,0.839208,55.9363,0.143388
4.8998,1,3,0.3151,1.146369,2.076513,0.808536,84.0879,0.142315
4.8998,1,4,0.3151,1.061248,2.244178,0.778017,111.4501,0.12757
4.8998,2,0,0.3151,1.347204,3.022227,0.582168,0.0,0.136323
4.8998,2,1,0.3151,1.319206,2.836037,0.521005,35.9244,0.117997
4.8998,2,2,0.3151,1.369086,2.830095,0.52379,69.2427,0.123566
4.8998,2,3,0.3151,1.230831,3.000093,0.492038,100.5684,0.126102
4.8998,2,4,0.3151,1.329512,3.118061,0.576346,141.5295,0.12563
4.8998,2,5,0.3151,1.311418,2.791564,0.560271,180.4764,0.127905
4.8998,2,6,0.3151,1.194953,3.109829,0.513162,209.7664,0.12578
4.8998,2,7,0.3151,1.239555,3.012878,0.536814,239.172,0.116042
4.8998,3,0,0.3151,1.523125,4.880522,0.260092,0.0,0.11432
4.8998,3,1,0.3151,1.489139,4.15271,0.292571,30.7452,0.115589
4.8998,3,2,0.3151,1.49339,4.21428,0.279721,63.3886,0.111249
4.8998,3,3,0.3151,1.428219,4.318542,0.277943,94.1313,0.112662
4.8998,3,4,0.3151,1.536989,4.124898,0.275623,128.1774,0.1157
4.8998,3,5,0.3151,1.441059,4.425799,0.285599,159.537,0.10207
4.8998,3,6,0.3151,1.601209,4.837136,0.260116,192.9981,0.106754
4.8998,3,7,0.3151,1.479682,4.518941,0.272303,218.6173,0.109284
4.8998,3,8,0.3151,1.595288,4.037814,0.281335,239.544,0.103376
4.8998,3,9,0.3151,1.352853,4.52976,0.284652,283.3849,0.104392
4.8998,3,10,0.3151,1.505066,4.185906,0.270702,322.7533,0.108647
4.8998,3,11,0.3151,1.570964,4.3056,0.290511,349.4317,0.111256
4.8998,3,12,0.3151,1.395816,4.174008,0.266463,383.7502,0.104627
2.5012,1,0,0.337,0.585376,1.078445,0.811148,0.0,0.067768
2.5012,1,1,0.337,0.597239,1.140712,0.831341,27.7253,0.070161
2.5012,1,2,0.337,0.601212,1.122675,0.893639,55.1472,0.074454
2.5012,1,3,0.337,0.573424,1.105558,0.783146,79.5497,0.073084
2.5012,1,4,0.337,0.615181,1.100007,0.841814,110.458,0.066842
2.5012,2,0,0.337,0.647892,1.543878,0.507718,0.0,0.063977
2.5012,2,1,0.337,0.709,1.505768,0.54282,34.2899,0.065412
2.5012,2,2,0.337,0.732369,1.612985,0.580625,69.4407,0.06152
2.5012,2,3,0.337,0.576189,1.389075,0.501787,99.7171,0.06826
2.5012,2,4,0.337,0.690523,1.593973,0.586471,140.5029,0.068063
2.5012,2,5,0.337,0.75446,1.399524,0.519833,167.1433,0.059181
2.5012,2,6,0.337,0.707695,1.407015,0.501879,207.3923,0.06483
2.5012,2,7,0.337,0.680686,1.560808,0.468251,247.4858,0.06436
2.5012,3,0,0.337,0.726734,2.165214,0.276841,0.0,0.054042
2.5012,3,1,0.337,0.774913,2.180801,0.273281,32.0391,0.055835
2.5012,3,2,0.337,0.7164,2.116392,0.239567,63.237,0.053685
2.5012,3,3,0.337,0.733679,2.111092,0.262879,97.5004,0.054153
2.5012,3,4,0.337,0.746625,2.057461,0.266841,123.6232,0.054241
2.5012,3,5,0.337,0.738122,2.148832,0.255604,158.4763,0.057158
2.5012,3,6,0.337,0.813558,2.186574,0.271689,187.2271,0.056352
2.5012,3,7,0.337,0.716744,2.258511,0.255553,208.9086,0.05612
2.5012,3,8,0.337,0.79532,2.179158,0.268661,259.2547,0.056711
2.5012,3,9,0.337,0.742519,2.225478,0.256107,275.474,0.058775
2.5012,3,10,0.337,0.808336,2.286841,0.284215,316.9774,0.05913
2.5012,3,11,0.337,0.710572,2.211473,0.256608,337.3487,0.060706
2.5012,3,12,0.337,0.758324,2.147986,0.283195,376.6151,0.059092
3.0738,1,0,0.3413,0.688523,1.476418,0.827114,0.0,0.083516
3.0738,1,1,0.3413,0.769697,1.296214,0.727404,27.0845,0.082493
3.0738,1,2,0.3413,0.750375,1.383146,0.851043,54.81,0.084228
3.0738,1,3,0.3413,0.735144,1.409552,0.846169,80.0412,0.089215
3.0738,1,4,0.3413,0.699478,1.37337,0.851102,109.6151,0.087982
3.0738,2,0,0.3413,0.82917,1.836047,0.575959,0.0,0.078271
3.0738,2,1,0.3413,0.774074,1.993064,0.565148,33.6296,0.073228
3.0738,2,2,0.3413,0.893463,1.855481,0.576913,66.6287,0.080219
3.0738,2,3,0.3413,0.791062,2.035252,0.533892,108.4786,0.073713
3.0738,2,4,0.3413,0.833829,1.97459,0.539979,134.968,0.079631
3.0738,2,5,0.3413,0.89357,2.067928,0.565833,170.006,0.083257
3.0738,2,6,0.3413,0.840137,2.050479,0.512427,204.3077,0.079766
3.0738,2,7,0.3413,0.776894,1.93173,0.582424,231.3706,0.073876
3.0738,3,0,0.3413,0.95648,2.774336,0.24393,0.0,0.06814
3.0738,3,1,0.3413,0.926111,2.980181,0.24353,30.5459,0.070193
3.0738,3,2,0.3413,0.928403,2.654479,0.270952,63.6087,0.074238
3.0738,3,3,0.3413,0.897939,2.78026,0.260464,92.9896,0.062835
3.0738,3,4,0.3413,0.947619,2.550378,0.280343,123.2529,0.070187
3.0738,3,5,0.3413,0.863233,2.81401,0.276602,154.6351,0.065409
3.0738,3,6,0.3413,0.832849,2.425988,0.272985,176.9277,0.072672
3.0738,3,7,0.3413,0.870524,2.668087,0.283531,227.9612,0.071397
3.0738,3,8,0.3413,0.9363,2.479593,0.249913,251.0289,0.066765
3.0738,3,9,0.3413,0.911755,2.815089,0.271081,283.0528,0.064933
3.0738,3,10,0.3413,0.820451,2.848997,0.268558,311.8967,0.064457
3.0738,3,11,0.3413,0.955692,2.671547,0.26824,351.432,0.072185
3.0738,3,12,0.3413,0.938338,2.537197,0.268689,377.6136,0.074372
2.8032,1,0,0.8533,0.653916,1.412358,0.683098,0.0,0.074969
2.8032,1,1,0.8533,0.610586,1.385116,0.669999,27.4393,0.084565
2.8032,1,2,0.8533,0.707864,1.391905,0.621459,56.9153,0.076101
2.8032,1,3,0.8533,0.740531,1.374297,0.660051,86.5953,0.075301
2.8032,1,4,0.8533,0.712616,1.255157,0.65597,110.2166,0.078018
2.8032,2,0,0.8533,0.766618,2.122514,0.431663,0.0,0.064807
2.8032,2,1,0.8533,0.742953,1.998633,0.431434,34.7848,0.067145
2.8032,2,2,0.8533,0.763958,1.925209,0.396658,71.0817,0.068615
2.8032,2,3,0.8533,0.747169,2.125917,0.450788,106.4422,0.065886
2.8032,2,4,0.8533,0.764695,1.924691,0.445942,139.1347,0.066175
2.8032,2,5,0.8533,0.757167,1.824881,0.45444,182.5527,0.064319
2.8032,2,6,0.8533,0.836127,2.162229,0.464244,207.125,0.065127
2.8032,2,7,0.8533,0.806253,1.933861,0.43603,239.1882,0.06843
2.8032,3,0,0.8533,0.790235,2.517678,0.225609,0.0,0.061116
2.8032,3,1,0.8533,0.807732,2.7211,0.218586,32.6833,0.062252
2.8032,3,2,0.8533,0.831725,3.136048,0.227708,66.7223,0.061146
2.8032,3,3,0.8533,0.828618,3.030305,0.213053,92.2674,0.068581
2.8032,3,4,0.8533,0.772764,2.881865,0.209287,129.4518,0.065209
2.8032,3,5,0.8533,0.821499,2.707222,0.223581,167.0902,0.064589
2.8032,3,6,0.8533,0.872385,2.939688,0.224149,179.3887,0.056007
2.8032,3,7,0.8533,0.889678,3.047728,0.229902,222.2903,0.067982
2.8032,3,8,0.8533,0.784202,2.866772,0.243606,253.6597,0.063531
2.8032,3,9,0.8533,0.866032,2.732873,0.198171,282.4727,0.058964
2.8032,3,10,0.8533,0.874651,3.033025,0.228735,317.0169,0.060806
2.8032,3,11,0.8533,0.853714,3.073338,0.231355,346.9117,0.061217
2.8032,3,12,0.8533,0.853602,2.869701,0.240411,387.1062,0.06249
2.651,1,0,0.0983,0.645896,1.096247,0.86739,0.0,0.078412
2.651,1,1,0.0983,0.623881,1.036018,0.896304,27.4091,0.077077
2.651,1,2,0.0983,0.633794,1.033741,0.902685,54.9235,0.079823
2.651,1,3,0.0983,0.634405,1.068745,0.871098,84.2218,0.071941
2.651,1,4,0.0983,0.591717,1.143579,0.93144,110.3666,0.080387
2.651,2,0,0.0983,0.701185,1.572227,0.614112,0.0,0.071617
2.651,2,1,0.0983,0.69973,1.647378,0.616844,32.9157,0.070241
2.651,2,2,0.0983,0.690565,1.468434,0.611896,68.7859,0.063416
2.651,2,3,0.0983,0.766834,1.692021,0.587979,104.1657,0.066109
2.651,2,4,0.0983,0.720448,1.485582,0.563846,134.6149,0.072825
2.651,2,5,0.0983,0.710413,1.589365,0.541209,168.181,0.070318
2.651,2,6,0.0983,0.700164,1.478988,0.613015,210.3964,0.074756
2.651,2,7,0.0983,0.715116,1.571916,0.633011,232.055,0.07104
2.651,3,0,0.0983,0.815338,2.391442,0.302457,0.0,0.0597
2.651,3,1,0.0983,0.797172,2.22484,0.278876,31.4256,0.058734
2.651,3,2,0.0983,0.785513,2.196476,0.301929,62.027,0.062224
2.651,3,3,0.0983,0.833661,2.117984,0.296698,95.4875,0.060949
2.651,3,4,0.0983,0.868873,2.041634,0.310427,125.0475,0.067005
2.651,3,5,0.0983,0.83071,2.227462,0.300052,157.5216,0.063365
2.651,3,6,0.0983,0.79656,2.224452,0.290567,190.7889,0.06263
2.651,3,7,0.0983,0.785786,2.243789,0.309791,227.045,0.06261
2.651,3,8,0.0983,0.776472,2.131955,0.286517,256.6643,0.063694
2.651,3,9,0.0983,0.857676,2.054065,0.276701,290.9859,0.063447
2.651,3,10,0.0983,0.865053,2.193609,0.270367,330.6755,0.060319
2.651,3,11,0.0983,0.789938,1.967956,0.311161,335.1001,0.059254
2.651,3,12,0.0983,0.832328,2.202113,0.266604,367.2539,0.057624
1.5604,1,0,0.3845,0.383273,0.685805,0.751724,0.0,0.041267
1.5604,1,1,0.3845,0.355496,0.691702,0.755504,27.8621,0.042629
1.5604,1,2,0.3845,0.383957,0.75668,0.748513,54.0207,0.042076
1.5604,1,3,0.3845,0.365171,0.701097,0.708287,83.2299,0.045507
1.5604,1,4,0.3845,0.372766,0.739499,0.857582,107.4273,0.043406
1.5604,2,0,0.3845,0.424378,0.988795,0.550763,0.0,0.038309
1.5604,2,1,0.3845,0.441555,0.929107,0.526795,35.9264,0.041416
1.5604,2,2,0.3845,0.407841,0.953752,0.523038,69.4315,0.039175
1.5604,2,3,0.3845,0.419597,1.064599,0.550819,107.9333,0.038064
1.5604,2,4,0.3845,0.411385,0.954432,0.489462,138.7898,0.042617
1.5604,2,5,0.3845,0.402104,1.020258,0.521295,165.7613,0.04002
1.5604,2,6,0.3845,0.435436,1.000386,0.533068,205.0166,0.039344
1.5604,2,7,0.3845,0.398154,0.998522,0.525995,253.6789,0.040188
1.5604,3,0,0.3845,0.483617,1.462567,0.253402,0.0,0.03633
1.5604,3,1,0.3845,0.455166,1.361383,0.235127,31.1107,0.035069
1.5604,3,2,0.3845,0.453635,1.51383,0.254791,62.3769,0.037136
1.5604,3,3,0.3845,0.44809,1.361466,0.27502,93.3251,0.033169
1.5604,3,4,0.3845,0.46807,1.256389,0.258275,125.7273,0.034953
1.5604,3,5,0.3845,0.453887,1.407724,0.267728,163.445,0.032695
1.5604,3,6,0.3845,0.454433,1.401829,0.283478,181.6087,0.037045
1.5604,3,7,0.3845,0.444621,1.30883,0.268518,229.9614,0.034945
1.5604,3,8,0.3845,0.391419,1.416786,0.276603,251.4362,0.037718
